subject,exp_num,RT,p,modality
28,5,535.5,0.6,EE
28,5,715,0.7,ED_e
28,5,492,0.7,EE
28,5,704,0.8,ED_e
28,5,599,0.8,EE
28,5,1283,0.9,ED_e
28,5,491,0.9,EE
29,5,864.5,0,ED_d
29,5,830.5,0.1,ED_d
29,5,912,0.2,ED_d
29,5,881.5,0.3,ED_d
29,5,916,0.4,ED_d
29,5,1185,0.5,ED_d
29,5,847,0.6,ED_d
29,5,648.5,0.7,ED_d
29,5,771,0.8,ED_d
29,5,772,0.9,ED_d
29,5,665,1,ED_d
29,5,906,0.1,ED_e
29,5,1766,0.1,EE
29,5,823,0.2,ED_e
29,5,1506,0.2,EE
29,5,807,0.3,ED_e
29,5,NaN,0.3,EE
29,5,996,0.4,ED_e
29,5,1317.5,0.4,EE
29,5,853,0.6,ED_e
29,5,1220.5,0.6,EE
29,5,960,0.7,ED_e
29,5,774,0.7,EE
29,5,785,0.8,ED_e
29,5,1328,0.8,EE
29,5,1050,0.9,ED_e
29,5,2076,0.9,EE
30,5,2245.5,0,ED_d
30,5,2074.5,0.1,ED_d
30,5,2151,0.2,ED_d
30,5,2321.5,0.3,ED_d
30,5,2174,0.4,ED_d
30,5,2345,0.5,ED_d
30,5,2133.5,0.6,ED_d
30,5,2001,0.7,ED_d
30,5,1864,0.8,ED_d
30,5,2161.5,0.9,ED_d
30,5,1657,1,ED_d
30,5,2130,0.1,ED_e
30,5,NaN,0.1,EE
30,5,2334,0.2,ED_e
30,5,2064,0.2,EE
30,5,1577,0.3,ED_e
30,5,2128,0.3,EE
30,5,2588,0.4,ED_e
30,5,2269.5,0.4,EE
30,5,2074,0.6,ED_e
30,5,2457.5,0.6,EE
30,5,2041,0.7,ED_e
30,5,2261,0.7,EE
30,5,2047,0.8,ED_e
30,5,2396,0.8,EE
30,5,2309,0.9,ED_e
30,5,2106,0.9,EE
31,5,1704.5,0,ED_d
31,5,1479.5,0.1,ED_d
31,5,1699,0.2,ED_d
31,5,1583,0.3,ED_d
31,5,2304.5,0.4,ED_d
31,5,4423,0.5,ED_d
31,5,1958,0.6,ED_d
31,5,1638.5,0.7,ED_d
31,5,3066.5,0.8,ED_d
31,5,2023,0.9,ED_d
31,5,1488.5,1,ED_d
31,5,1793,0.1,ED_e
31,5,2282,0.1,EE
31,5,1886,0.2,ED_e
31,5,2639,0.2,EE
31,5,1610,0.3,ED_e
31,5,2091,0.3,EE
31,5,1700,0.4,ED_e
31,5,1797,0.4,EE
31,5,1610,0.6,ED_e
31,5,1762,0.6,EE
31,5,3336,0.7,ED_e
31,5,2282.5,0.7,EE
31,5,1746,0.8,ED_e
31,5,3175,0.8,EE
31,5,1663,0.9,ED_e
31,5,1646,0.9,EE
32,5,1213.5,0,ED_d
32,5,1068.5,0.1,ED_d
32,5,1155,0.2,ED_d
32,5,1206.5,0.3,ED_d
32,5,1195.5,0.4,ED_d
